name,habitat,food,nesting,behaviour,conservation,length,MaxLength,wingspan,MaxWingspan,weight,AvgWeight,Clutch Size,MinClutch,MaxClutch,number of broods,MaxBrood,Egg Length,MaxEggL,Egg Width,MaxEggW,Incubation period,MaxIncubation,MinIncubation,nestling period,MinNestling,MaxNestling,order 2,family 2
Baltimore Oriole,Open Woodland,Insects,Tree,Foliage Gleaner,Least Concern,17-19,19, 23-30,30,30-40,35.0,3-7,3,7, 1 , 1 ,2.1-2.5,2.5,1.5-1.7,1.7,11-14,14,11,11-14,11,14, PASSERIFORMES, ICTERIDAE
Boreal Owl,Forest,Mammals,Cavity,Aerial Dive,Least Concern,21-28,28, 55-62,62,93-215,154.0,1-19,1,19,,,,,,,,,,,,, STRIGIFORMES, STRIGIDAE
White-crowned Pigeon,Forest,Fruit,Tree,Foliage Gleaner,Near Threatened,33-35,35, 59, 59,220-280,250.0,1-3,1,3,,,,,,,,,,,,, COLUMBIFORMES, COLUMBIDAE
Barn Swallow,Town,Insects,Building,Aerial Forager,Least Concern,15-19,19, 29-32,32,17-20,18.5,3-7,3,7, 1-2 ,2 ,1.6-2.1,2.1,1.2-1.5,1.5,12-17,17,12,15-27,15,27, PASSERIFORMES, HIRUNDINIDAE
Least Sandpiper,Marsh,Insects,Ground,Probing,Least Concern,13-15,15, 27-28,28,19-30,24.5,3-4,3,4, 1 , 1 ,2.8-3,3,2.1-2.2,2.2,19-23,23,19,1,1,1, CHARADRIIFORMES, SCOLOPACIDAE
Black-capped Chickadee,Forest,Insects,Cavity,Foliage Gleaner,Least Concern,12-15,15, 16-21,21,9-14,11.5,1-13,1,13, 1 , 1 ,1.5,1.5,1.2,1.2,12-13,13,12,12-16,12,16, PASSERIFORMES, PARIDAE
Western Scrub-Jay,Scrub,Omnivore,Tree,Ground Forager,Least Concern,28-30,30, 39, 39,70-100,85.0,1-5,1,5, 1 , 1 ,2.4-3.4,3.4,1.9-2,2,17-19,19,17,17-19,17,19, PASSERIFORMES, CORVIDAE
Blue Jay,Forest,Omnivore,Tree,Ground Forager,Least Concern,25-30,30, 34-43,43,70-100,85.0,2-7,2,7, 1 , 1 ,2.5-3.3,3.3,1.8-2.2,2.2,17-18,18,17,17-21,17,21, PASSERIFORMES, CORVIDAE
Black Phoebe,Open Woodland,Insects,Cliff,Flycatching,Least Concern,16,16,,,15-22,18.5,1-6,1,6, 1-3 ,3 ,1.7-2,2,1.3-1.5,1.5,15-18,18,15,18-21,18,21, PASSERIFORMES, TYRANNIDAE
American Crow,Open Woodland,Omnivore,Tree,Ground Forager,Least Concern,40-53,53, 85-100,100,316-620,468.0,3-9,3,9, 1-2 ,2 ,3.6-4.7,4.7,2.6-3.1,3.1,16-18,18,16,20-40,20,40, PASSERIFORMES, CORVIDAE
Northern Cardinal,Open Woodland,Seeds,Shrub,Ground Forager,Least Concern,21-23,23, 25-31,31,42-48,45.0,2-5,2,5, 1-2 ,2 ,2.2-2.7,2.7,1.7-2,2,11-13,13,11,7-13,7,13, PASSERIFORMES, CARDINALIDAE
Red-tailed Hawk,Open Woodland,Small Animals,Tree,Soaring,Least Concern,45-56,56, 50-65,65,690-1300 ,995.0,1-5,1,5, 1 , 1 ,5.5-6.8,6.8,4.3-5,5,28-35,35,28,42-46,42,46, ACCIPITRIFORMES, ACCIPITRIDAE
Mourning_Dove,Open Woodland,Seeds,Tree,Ground Forager,Least Concern,23-34,34, 45, 45,96-170 ,133.0,2,2,2, 1-6 ,6 ,2.6-3,3,2.1-2.3,2.3,14,14,14,12-15,12,15, COLUMBIFORMES, COLUMBIDAE
American Goldfinch,Open Woodland,Seeds,Shrub,Foliage Gleaner,Least Concern,11-13,13, 19-22,22,11-20,15.5,2-7,2,7, 1-2 ,2 ,1.62-1.69,1.69,1.2-1.3,1.3,12-14,14,12,11-17,11,17, PASSERIFORMES, FRINGILLIDAE
Osprey,Lake/Pond,Fish,Tree,Aerial Dive,Least Concern,54-58,58, 150-180,180,1400-2000,1700.0,1-4,1,4, 1 , 1 ,5.5-6.8,6.8,4.2-5,5,36-42,42,36,50-55,50,55, ACCIPITRIFORMES, PANDIONIDAE
White-winged Dove,Open Woodland,Seeds,Tree,Ground Forager,Least Concern,,,,,,,1-2,1,2, 1-2 ,2 ,2.7-3.2,3.2,1.9-2.3,2.3,14-20,20,14,13-18,13,18, COLUMBIFORMES, COLUMBIDAE
Common Ground-Dove,Scrub,Seeds,Ground,Ground Forager,Least Concern,15-18,18, 27, 27,28-40,34.0,1-3,1,3, 1-4 ,4 ,2-2.4,2.4,1.5-1.7,1.7,12-14,14,12,11-14,11,14, COLUMBIFORMES, COLUMBIDAE
African Collared-Dove,Open Woodland,Seeds,Tree,Ground Forager,Least Concern,26-27,27, 45-50,50,130-166,148.0,2,2,2,,,,,,,,,,,,, COLUMBIFORMES, COLUMBIDAE
Rock Pigeon,Town,Seeds,Building,Ground Forager,Least Concern,30-36,36, 50-67,67,265-380,322.5,1-3,1,3, 1-6 ,6 ,,,,,18,18,18,25-32,25,32, COLUMBIFORMES, COLUMBIDAE
Inca Dove,Town,Seeds,Shrub,Ground Forager,Least Concern,18-23,23,,,30-58,44.0,,,,,,,,,,,,,,,, COLUMBIFORMES, COLUMBIDAE
Band-tailed Pigeon,Forest,Seeds,Tree,Foliage Gleaner,Least Concern,33-40,40,,,342-364,353.0,1-2,1,2, 1-3 ,3 ,3.7-4.4,4.4,2.6-3.1,3.1,16-22,22,16,15-29,15,29, COLUMBIFORMES, COLUMBIDAE
White-tipped Dove,Open Woodland,Seeds,Tree,Ground Forager,Least Concern,25-31,31,,,99-230,164.5,1-3,1,3,,,,,,,,,,,,, COLUMBIFORMES, COLUMBIDAE
Eurasian Collared-Dove,Town,Seeds,Tree,Ground Forager,Least Concern,29-30,30, 35, 35,140-180,160.0,1-2,1,2, 3-6 ,6 ,2.7-3.1,3.1,2.1-2.4,2.4,14-19,19,14,17,17,17, COLUMBIFORMES, COLUMBIDAE
Northern Pygmy-Owl,Forest,Birds,Cavity,Aerial Forager,Least Concern,16-18,18, 38, 38,60-70,65.0,2-7,2,7, 1 , 1 ,2.5-3.2,3.2,2.2-2.5,2.5,28,28,28,23,23,23, STRIGIFORMES, STRIGIDAE
Snowy Owl,Grassland,Mammals,Ground,Aerial Dive,Least Concern,52-71,71, 126-145,145,1600-2950,2275.0,3-11,3,11, 1 , 1 ,5.7,5.7,4.5,4.5,32,32,32,18-25,18,25, STRIGIFORMES, STRIGIDAE
Great Horned Owl,Open Woodland,Mammals,Tree,Aerial Dive,Least Concern,46-63,63, 101-145,145,910-2500,1705.0,1-4,1,4, 1 , 1 ,5.3-5.6,5.6,4.5-4.7,4.7,30-37,37,30,42,42,42, STRIGIFORMES, STRIGIDAE
Northern Hawk Owl,Forest,Mammals,Cavity,Aerial Dive,Least Concern,36-45,45, 71, 71,240-454,347.0,3-13,3,13,,,,,,,,,,,,, STRIGIFORMES, STRIGIDAE
Northern Saw-whet Owl,Forest,Mammals,Cavity,Aerial Dive,Least Concern,18-21,21, 42-48,48,65-151,108.0,4-7,4,7, 1-2 ,2 ,2.8-3.3,3.3,2.4-2.6,2.6,26-29,29,26,27-34,27,34, STRIGIFORMES, STRIGIDAE
Long-eared Owl,Forest,Mammals,Tree,Soaring,Least Concern,35-40,40, 90-100,100,220-435,327.5,2-10,2,10, 1 , 1 ,3.8-4.4,4.4,3-3.5,3.5,25-30,30,25,21,21,21, STRIGIFORMES, STRIGIDAE
Great Gray Owl,Forest,Mammals,Tree,Aerial Dive,Least Concern,61-84,84, 137-153,153,700-1700,1200.0,,,,,,,,,,,,,,,, STRIGIFORMES, STRIGIDAE
Flammulated Owl,Forest,Insects,Cavity,Flycatching,Least Concern,15-17,17, 41, 41,45-63,54.0,2-4,2,4,,,,,,,,,,,,, STRIGIFORMES, STRIGIDAE
Eastern Screech-Owl,Forest,Insects,Cavity,Stalking,Least Concern,16-25,25, 48-61,61,121-244,182.5,2-6,2,6, 1 , 1 ,3.4-3.6,3.6,2.9-3,3,27-34,34,27,26-30,26,30, STRIGIFORMES, STRIGIDAE
Western Screech-Owl,Open Woodland,Mammals,Cavity,Stalking,Least Concern,19-25,25, 55-62,62,100-305,202.5,2-7,2,7,,,,,,,,,,,,, STRIGIFORMES, STRIGIDAE
Barred Owl,Forest,Mammals,Tree,Ground Forager,Least Concern,43-50,50, 99-110,110,470-1050,760.0,1-5,1,5, 1 , 1 ,4.3-5.6,5.6,3.8-4.5,4.5,28-33,33,28,28-35,28,35, STRIGIFORMES, STRIGIDAE
Spotted Owl,Forest,Mammals,Cavity,Aerial Dive,Near Threatened,47-48,48, 101, 101,500-700,600.0,1-3,1,3,,,,,,,,,,,,, STRIGIFORMES, STRIGIDAE
Burrowing Owl,Grassland,Insects,Burrow,Aerial Dive,Least Concern,19-25,25, 55, 55,150,150,2-12,2,12,,,,,,,,,,,,, STRIGIFORMES, STRIGIDAE
Short-eared Owl,Grassland,Mammals,Ground,Soaring,Least Concern,34-43,43, 85-103,103,206-475,340.5,1-11,1,11,,,,,,,,,,,,, STRIGIFORMES, STRIGIDAE
Audubon's Oriole,Open Woodland,Insects,Tree,Foliage Gleaner,Least Concern,19-24,24, 32, 32,31-53,42.0,3-5,3,5,,,,,,,,,,,,, PASSERIFORMES, ICTERIDAE
Bobolink,Grassland,Insects,Ground,Ground Forager,Least Concern,15-21,21, 27, 27,29-56,42.5,3-7,3,7, 1-2 ,2 ,2-2.3,2.3,1.5-1.7,1.7,11-14,14,11,10-11,10,11, PASSERIFORMES, ICTERIDAE
Shiny Cowbird,Grassland,Insects,Tree,Ground Forager,Least Concern,18,18,,,31-40,35.5,,,,,,,,,,,,,,,, PASSERIFORMES, ICTERIDAE
Orchard Oriole,Open Woodland,Insects,Tree,Foliage Gleaner,Least Concern,15-18,18, 25, 25,16-28,22.0,4-6,4,6, 1-2 ,2 ,1.9-2.3,2.3,1.4-1.5,1.5,12-14,14,12,14,14,14, PASSERIFORMES, ICTERIDAE
Brown-headed Cowbird,Grassland,Seeds,Tree,Ground Forager,Least Concern,19-22,22, 16-20,20,42-50 ,46.0,1-7,1,7,,,1.8-2.5,2.5,1.5-1.8,1.8,10-12,12,10,8-13,8,13, PASSERIFORMES, ICTERIDAE
Boat-tailed Grackle,Marsh,Omnivore,Tree,Ground Forager,Least Concern,26-37,37, 39-50,50,93-239,166.0,1-5,1,5, 1-2 ,2 ,2.7-3.8,3.8,1.9-2.4,2.4,13,13,13,13,13,13, PASSERIFORMES, ICTERIDAE
Common Grackle,Open Woodland,Omnivore,Tree,Ground Forager,Least Concern,28-34,34, 36-46,46,74-142,108.0,1-7,1,7, 1-2 ,2 ,2.5-3.3,3.3,1.9-2.3,2.3,11-15,15,11,10-17,10,17, PASSERIFORMES, ICTERIDAE
Red-winged Blackbird,Marsh,Insects,Shrub,Ground Forager,Least Concern,17-23,23, 31-40,40,32-77,54.5,2-4,2,4, 1-2 ,2 ,2.2-2.7,2.7,1.6-1.9,1.9,11-13,13,11,11-14,11,14, PASSERIFORMES, ICTERIDAE
Great-tailed Grackle,Town,Omnivore,Tree,Ground Forager,Least Concern,46,46, 38, 38,190 ,190 ,1-5,1,5, 1-2 ,2 ,2.7-3.7,3.7,2.1-2.4,2.4,13-14,14,13,20-23,20,23, PASSERIFORMES, ICTERIDAE
Brewer's Blackbird,Town,Seeds,Shrub,Ground Forager,Least Concern,21-25,25, 20-22,22,60-86 ,73.0,3-7,3,7, 1-2 ,2 ,2.3-2.9,2.9,1.7-2,2,11-17,17,11,12-16,12,16, PASSERIFORMES, ICTERIDAE
Rusty Blackbird,Forest,Insects,Tree,Ground Forager,Vulnerable,21-25,25, 37, 37,47-80,63.5,3-6,3,6,,,,,,,,,,,,, PASSERIFORMES, ICTERIDAE
Altamira Oriole,Open Woodland,Insects,Tree,Foliage Gleaner,Least Concern,21-25,25, 36, 36,47-64,55.5,2-6,2,6,,,,,,,,,,,,, PASSERIFORMES, ICTERIDAE
Hooded Oriole,Open Woodland,Insects,Tree,Foliage Gleaner,Least Concern,18-20,20,,,24,24,3-7,3,7,,,,,,,,,,,,, PASSERIFORMES, ICTERIDAE
Eastern Meadowlark,Grassland,Insects,Ground,Ground Forager,Least Concern,19-26,26, 35-40,40,90-150,120.0,2-7,2,7, 1-2 ,2 ,2.2-3.1,3.1,1.8-2.3,2.3,13-16,16,13,10-12,10,12, PASSERIFORMES, ICTERIDAE
Yellow-headed Blackbird,Marsh,Insects,Shrub,Ground Forager,Least Concern,21-26,26, 42-44,44,44-100,72.0,2-5,2,5, 1 , 1 ,2.3-2.8,2.8,1.7-1.9,1.9,12-13,13,12,7-14,7,14, PASSERIFORMES, ICTERIDAE
Bullock's Oriole,Open Woodland,Insects,Tree,Foliage Gleaner,Least Concern,17-19,19, 31, 31,29-43,36.0,2-7,2,7,,,,,,,,,,,,, PASSERIFORMES, ICTERIDAE
Western Meadowlark,Grassland,Insects,Ground,Ground Forager,Least Concern,16-26,26, 41, 41,89-115,102.0,5-6,5,6, 1-2 ,2 ,2.5-3.3,3.3,1.9-2.2,2.2,13-16,16,13,10-12,10,12, PASSERIFORMES, ICTERIDAE
Bronzed Cowbird,Town,Insects,Tree,Ground Forager,Least Concern,20,20, 33, 33,55-70,62.5,,,,,,,,,,,,,,,, PASSERIFORMES, ICTERIDAE
Spot-breasted Oriole,Open Woodland,Fruit,Tree,Foliage Gleaner,Least Concern,21-24,24,,,50,50,,,,,,,,,,,,,,,, PASSERIFORMES, ICTERIDAE
Scott's Oriole,Open Woodland,Insects,Tree,Foliage Gleaner,Least Concern,23,23, 32, 32,32-41,36.5,1-5,1,5,,,,,,,,,,,,, PASSERIFORMES, ICTERIDAE
Northern Mockingbird,Town,Omnivore,Shrub,Ground Forager,Least Concern,21-26,26, 31-35,35,45-58,51.5,2-6,2,6, 2-3 ,3 ,2-2.9,2.9,1.6-2,2,12-13,13,12,12-13,12,13, PASSERIFORMES, MIMIDAE
Cave Swallow,Grassland,Insects,Building,Aerial Forager,Least Concern,14,14,,,17-25,21.0,1-5,1,5,,,,,,,,,,,,, PASSERIFORMES, HIRUNDINIDAE
Violet-green Swallow,Open Woodland,Insects,Cavity,Aerial Forager,Least Concern,12,12, 27, 27,14,14,4-6,4,6,,,,,,,,,,,,, PASSERIFORMES, HIRUNDINIDAE
Tree Swallow,Lake/Pond,Insects,Cavity,Aerial Forager,Least Concern,12-15,15, 30-35,35,16-25,20.5,4-7,4,7, 1-2 ,2 ,1.7-2,2,1.3-1.4,1.4,11-20,20,11,15-25,15,25, PASSERIFORMES, HIRUNDINIDAE
Northern Rough-winged Swallow,River/Stream,Insects,Burrow,Aerial Forager,Least Concern,12-15,15, 27-30,30,10-18,14.0,4-8,4,8,,,,,,,,,,,,, PASSERIFORMES, HIRUNDINIDAE
Cliff Swallow,Lake/Pond,Insects,Cliff,Aerial Forager,Least Concern,13,13, 28-30,30,19-34,26.5,1-6,1,6, 1-2 ,2 ,1.8-2.4,2.4,1.3-1.5,1.5,10-19,19,10,20-26,20,26, PASSERIFORMES, HIRUNDINIDAE
Bank Swallow,Lake/Pond,Insects,Burrow,Aerial Forager,Least Concern,12-14,14, 25-29,29,10-19,14.5,2-6,2,6, 1-2 ,2 ,1.5-1.9,1.9,1.1-1.4,1.4,13-16,16,13,18-24,18,24, PASSERIFORMES, HIRUNDINIDAE
Brown-headed Cowbird,Grassland,Seeds,Tree,Ground Forager,Least Concern,19-22,22, 16-20,20,42-50 ,46.0,1-7,1,7,,,1.8-2.5,2.5,1.5-1.8,1.8,10-12,12,10,8-13,8,13, PASSERIFORMES, ICTERIDAE
Purple Martin,Lake/Pond,Insects,Cavity,Aerial Forager,Least Concern,19-20,20, 39-41,41,45-60,52.5,3-6,3,6, 1-2 ,2 ,2.1-2.7,2.7,1.6-1.9,1.9,15-18,18,15,27-36,27,36, PASSERIFORMES, HIRUNDINIDAE
Vaux's Swift,Forest,Insects,Tree,Aerial Forager,Least Concern,11,11, 28, 28,15-22,18.5,3-7,3,7,,,,,,,,,,,,, APODIFORMES, APODIDAE
Upland Sandpiper,Grassland,Insects,Ground,Ground Forager,Least Concern,28-32,32, 47, 47,97-226,161.5,2-7,2,7,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Chimney Swift,Town,Insects,Building,Aerial Forager,Near Threatened,12-15,15, 27-30,30,17-30,23.5,3-5,3,5, 1-2 ,2 ,1.7-2.2,2.2,1.2-1.4,1.4,16-21,21,16,14-19,14,19, APODIFORMES, APODIDAE
Pectoral Sandpiper,Grassland,Insects,Ground,Probing,Least Concern,22,22, 43, 43,41-105,73.0,,,,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Buff-breasted Sandpiper,Grassland,Insects,Ground,Ground Forager,Near Threatened,18-20,20,,,46-78,62.0,2-5,2,5,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Whimbrel,Shore-line,Insects,Ground,Ground Forager,Least Concern,44,44,,,310-493,401.5,2-5,2,5,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Lesser Yellowlegs,Marsh,Insects,Ground,Probing,Least Concern,23-25,25, 59-64,64,67-94,80.5,,,,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Willet,Shore-line,Small Animals,Ground,Probing,Least Concern,33-41,41, 70, 70,200-330,265.0,4,4,4, 1 , 1 ,4.9-6.2,6.2,3.4-4,4,22-29,29,22,1-2,1,2, CHARADRIIFORMES, SCOLOPACIDAE
American Woodcock,Forest,Insects,Ground,Probing,Least Concern,25-31,31, 42-48,48,116-279,197.5,1-5,1,5, 1 , 1 ,3.6-4.3,4.3,2.7-3.1,3.1,20-22,22,20,,,, CHARADRIIFORMES, SCOLOPACIDAE
Hudsonian Godwit,Shore-line,Insects,Ground,Probing,Near Threatened,36-42,42,,,196-358,277.0,2-4,2,4,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Wandering Tattler,Shore-line,Insects,Ground,Probing,Least Concern,26-30,30, 50-55,55,60-169,114.5,,,,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Ruddy Turnstone,Shore-line,Insects,Ground,Ground Forager,Least Concern,21-16,16, 50-57,57,84-190,137.0,,,,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Baird's Sandpiper,Shore-line,Insects,Ground,Probing,Least Concern,14-18,18, 35-38,38,27-63,45.0,,,,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Dunlin,Shore-line,Insects,Ground,Probing,Least Concern,16-22,22, 36-38,38,48-64,56.0,,,,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Stilt Sandpiper,Marsh,Insects,Ground,Probing,Least Concern,20-23,23,,,50-70,60.0,2-5,2,5,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Solitary Sandpiper,Marsh,Insects,Tree,Probing,Least Concern,19-23,23,,,31-65,48.0,3-5,3,5,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Short-billed Dowitcher,Marsh,Insects,Ground,Probing,Least Concern,25-29,29,,,90-120,105.0,4,4,4,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Long-billed Curlew,Grassland,Insects,Ground,Probing,Least Concern,50-65,65, 62-89,89,490-950,720.0,4,4,4, 1 , 1 ,5.9-7.4,7.4,4.2-5,5,27-31,31,27,,,, CHARADRIIFORMES, SCOLOPACIDAE
White-rumped Sandpiper,Shore-line,Insects,Ground,Ground Forager,Least Concern,15-18,18, 40-44,44,40-60,50.0,,,,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Spotted Sandpiper,Shore-line,Small Animals,Ground,Probing,Least Concern,18-20,20, 37-40,40,34-50,42.0,3-5,3,5, 1-5 ,5 ,2.9-3.5,3.5,2.2-2.6,2.6,19-22,22,19,1,1,1, CHARADRIIFORMES, SCOLOPACIDAE
Western Sandpiper,Shore-line,Insects,Ground,Ground Forager,Least Concern,14-17,17, 26-37,37,22-35,28.5,3-5,3,5,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Surfbird,Shore-line,Insects,Ground,Ground Forager,Least Concern,24-26,26,,,133-230,181.5,,,,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Marbled Godwit,Marsh,Insects,Ground,Probing,Least Concern,42-48,48,,,285-454,369.5,3-5,3,5,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Red Knot,Shore-line,Insects,Ground,Ground Forager,Least Concern,23-25,25, 52-56,56,135,135,,,,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Wilson's Snipe,Marsh,Insects,Ground,Probing,Least Concern,27-32,32, 41-44,44,79-146,112.5,2-4,2,4, 1 , 1 ,3.5-4.3,4.3,2.6-3,3,18-20,20,18,1,1,1, CHARADRIIFORMES, SCOLOPACIDAE
Wilson's Phalarope,Lake/Pond,Insects,Ground,Dabbler,Least Concern,22-24,24, 39-43,43,38-110,74.0,4,4,4, 1 , 1 ,3.2-3.5,3.5,2.3-2.4,2.4,18-27,27,18,1,1,1, CHARADRIIFORMES, SCOLOPACIDAE
Black Turnstone,Shore-line,Insects,Ground,Ground Forager,Least Concern,22-25,25,,,100-170,135.0,,,,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Semipalmated Sandpiper,Shore-line,Insects,Ground,Ground Forager,Near Threatened,13-15,15, 29-30,30,21-32,26.5,,,,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Greater Yellowlegs,Marsh,Insects,Ground,Probing,Least Concern,29-33,33, 60, 60,111-235,173.0,,,,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Rock Sandpiper,Shore-line,Insects,Ground,Probing,Least Concern,18-24,24, 39, 39,57-130,93.5,,,,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Purple Sandpiper,Shore-line,Insects,Ground,Probing,Least Concern,20-22,22, 42-46,46,50-105,77.5,3-4,3,4,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Long-billed Dowitcher,Marsh,Insects,Ground,Probing,Least Concern,29,29,,,90-131,110.5,,,,,,,,,,,,,,,, CHARADRIIFORMES, SCOLOPACIDAE
Sanderling,Shore-line,Insects,Ground,Probing,Least Concern,18-20,20, 35, 35,40-100,70.0,3-4,3,4, 1 , 1 ,3.3-3.8,3.8,2.4-2.6,2.6,23-27,27,23,1,1,1, CHARADRIIFORMES, SCOLOPACIDAE
Chimney Swift,Town,Insects,Building,Aerial Forager,Near Threatened,12-15,15, 27-30,30,17-30,23.5,3-5,3,5, 1-2 ,2 ,1.7-2.2,2.2,1.2-1.4,1.4,16-21,21,16,14-19,14,19, APODIFORMES, APODIDAE
European Starling,Town,Insects,Cavity,Ground Forager,Least Concern,,,,,,,3-6,3,6, 1-2 ,2 ,2.7-3.2,3.2,1.9-2.3,2.3,12,12,12,21-23,21,23, PASSERIFORMES, STURNIDAE
Gray Catbird,Open Woodland,Insects,Shrub,Ground Forager,Least Concern,21-24,24, 22-30,30,23.2-56,39.6,1-6,1,6, 2-3 ,3 ,2.2-2.6,2.6,1.2-1.6,1.6,12-15,15,12,10-11,10,11, PASSERIFORMES, MIMIDAE
Brewer's Blackbird,Town,Seeds,Shrub,Ground Forager,Least Concern,21-25,25, 20-22,22,60-86 ,73.0,3-7,3,7, 1-2 ,2 ,2.3-2.9,2.9,1.7-2,2,11-17,17,11,12-16,12,16, PASSERIFORMES, ICTERIDAE
Barn Owl,Grassland,Mammals,Building,Aerial Dive,Least Concern,32-40,40, 100-125,125,400-700,550.0,2-18,2,18, 1-3 ,3 ,3.9-4.4,4.4,3.1-3.4,3.4,29-34,34,29,50-55,50,55, STRIGIFORMES, TYTONIDAE
Snowy Owl,Grassland,Mammals,Ground,Aerial Dive,Least Concern,52-71,71, 126-145,145,1600-2950,2275.0,3-11,3,11, 1 , 1 ,5.7,5.7,4.5,4.5,32,32,32,18-25,18,25, STRIGIFORMES, STRIGIDAE
Rusty Blackbird,Forest,Insects,Tree,Ground Forager,Vulnerable,21-25,25, 37, 37,47-80,63.5,3-6,3,6,,,,,,,,,,,,, PASSERIFORMES, ICTERIDAE
Gray Partridge,Grassland,Seeds,Ground,Ground Forager,Least Concern,30-33,33, 53-56,56,385-500,442.5,10-22,10,22,,,,,,,,,,,,, GALLIFORMES, PHASIANIDAE
Sharp-tailed Grouse,Grassland,Plants,Ground,Ground Forager,Least Concern,41-47,47,,,596-1031,813.5,,,,,,,,,,,,,,,, GALLIFORMES, PHASIANIDAE
Common Loon,Lake/Pond,Fish,Ground,Surface Dive,Least Concern,66-91,91, 104-131,131,2500-6100,4300.0,1-2,1,2, 1 , 1 ,8.8-9,9,5.5-5.7,5.7,26-29,29,26,2,2,2, GAVIIFORMES, GAVIIDAE
Eastern Phoebe,Open Woodland,Insects,Building,Flycatching,Least Concern,14-17,17, 26-28,28,16-21,18.5,2-6,2,6, 1-2 ,2 ,1.8-2.1,2.1,1.4-1.7,1.7,15-16,16,15,16-20,16,20, PASSERIFORMES, TYRANNIDAE
Wood Duck,Lake/Pond,Insects,Cavity,Dabbler,Least Concern,47-54,54, 66-73,73,454-862,658.0,6-16,6,16, 1-2 ,2 ,4.6-6.1,6.1,3.5-4.2,4.2,28-37,37,28,56-70,56,70, ANSERIFORMES, ANATIDAE
Tree Swallow,Lake/Pond,Insects,Cavity,Aerial Forager,Least Concern,12-15,15, 30-35,35,16-25,20.5,4-7,4,7, 1-2 ,2 ,1.7-2,2,1.3-1.4,1.4,11-20,20,11,15-25,15,25, PASSERIFORMES, HIRUNDINIDAE
Chukar,Mountains,Seeds,Ground,Ground Forager,Least Concern,34-38,38,,,550-675,612.5,10-21,10,21,,,,,,,,,,,,, GALLIFORMES, PHASIANIDAE
Canada Goose,Marsh,Seeds,Ground,Ground Forager,Least Concern,76-110,110, 127-170,170,3000-9000,6000.0,2-8,2,8, 1 , 1 ,8.3,8.3,5.6,5.6,25-28,28,25,42-50,42,50, ANSERIFORMES, ANATIDAE
Eastern Bluebird,Grassland,Insects,Cavity,Ground Forager,Least Concern,16-21,21, 25-32,32,28-32,30.0,2-7,2,7, 1-3 ,3 ,1.8-2.4,2.4,1.5-1.9,1.9,11-19,19,11,17-21,17,21, PASSERIFORMES, TURDIDAE
Peregrine Falcon,Mountains,Birds,Cliff,Aerial Dive,Least Concern,36-49,49, 100-110,110,530-1600,1065.0,2-5,2,5, 1 , 1 ,5-5.2,5.2,4-4.7,4.7,29-32,32,29,35-42,35,42, FALCONIFORMES, FALCONIDAE
American Robin,Open Woodland,Insects,Tree,Ground Forager,Least Concern,20-28,28, 31-40,40,77-85,81.0,3-5,3,5, 1-3 ,3 ,2.8-3,3,2.1,2.1,12-14,14,12,13,13,13, PASSERIFORMES, TURDIDAE
Cedar Waxwing,Open Woodland,Fruit,Tree,Foliage Gleaner,Least Concern,14-17,17, 22-30,30,32,32,2-6,2,6, 1-2 ,2 ,1.6-2.9,2.9,1.4-1.8,1.8,11-13,13,11,14-18,14,18, PASSERIFORMES, BOMBYCILLIDAE
Cooper's Hawk,Forest,Birds,Tree,Aerial Forager,Least Concern,37-39,39, 42-45,45,220-410 ,315.0,2-6,2,6, 1 , 1 ,4.4-5.1,5.1,3.5-4,4,30-36,36,30,27-34,27,34, ACCIPITRIFORMES, ACCIPITRIDAE
